SigmaArcsec,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Converged
0.1,38442.2059626049,3.58403389624361,0.399764420888691,0.246047925885526,1
0.1,38442.3584329608,3.58401903538924,0.399763926047031,0.246047416329862,1
0.1,38442.5388172072,3.58400132183907,0.399763276925856,0.24604680730044,1
0.1,38442.5190439764,3.58400328093324,0.399763356441405,0.246046874874258,1
0.1,38442.4803597834,3.58400699595386,0.399763455478714,0.246047001567354,1
0.1,38442.434905358,3.58401149485062,0.399763636006388,0.246047156686933,1
0.1,38442.4443800508,3.5840105541526,0.399763596971686,0.246047124216206,1
0.1,38442.3443806819,3.58402034371049,0.399763942232325,0.246047460424755,1
0.1,38442.4480464545,3.58401011092113,0.399763543843777,0.246047107945721,1
0.1,38442.4016844602,3.58401488407547,0.399763816487525,0.246047274789089,1
0.1,38442.5076762811,3.58400428816645,0.399763345005878,0.246046908153518,1
0.1,38442.404303876,3.58401444271651,0.399763718675646,0.246047257331814,1
0.1,38442.5791912913,3.58399727453837,0.39976309193871,0.24604666712015,1
0.1,38442.4792523017,3.5840071663359,0.399763489046361,0.246047008189344,1
0.1,38442.3984640353,3.58401489906687,0.399763683471431,0.246047271570381,1
0.1,38442.5071971115,3.58400433367586,0.399763345988726,0.246046909699053,1
0.1,38442.399347717,3.58401501362017,0.399763776931839,0.246047278004492,1
0.1,38442.4391674542,3.5840110176634,0.399763592515373,0.246047139553228,1
0.1,38442.5678125876,3.58399843348298,0.399763152852884,0.246046707482825,1
0.1,38442.4452990244,3.5840105032502,0.399763612548151,0.246047122953693,1
0.1,38442.3104948508,3.58402378796408,0.399764120144996,0.246047580290543,1
0.1,38442.3943110762,3.58401546253024,0.399763773125683,0.246047292872653,1
0.1,38442.2682038648,3.58402791839494,0.399764261458602,0.246047722022231,1
0.1,38442.4220116656,3.58401274361969,0.399763674059246,0.246047199406644,1
0.1,38442.4108863492,3.58401385347273,0.399763722422975,0.246047237780826,1
0.1,38442.3681568303,3.58401814691034,0.399763922934343,0.246047386605342,1
0.1,38442.4454541729,3.58401051649423,0.399763625659472,0.246047123761983,1
0.1,38442.4024579568,3.5840147497694,0.399763785695624,0.24604726944806,1
0.1,38442.2641432956,3.58402835622365,0.399764294824729,0.246047737559988,1
0.1,38442.404477852,3.58401445193022,0.399763730673499,0.246047257974632,1
0.1,38442.4513345271,3.58400989272522,0.399763582263789,0.246047101741391,1
0.1,38442.4258589348,3.58401232673474,0.399763641454231,0.246047184588863,1
0.1,38442.2662744527,3.58402807061069,0.399764250517834,0.246047726793934,1
0.1,38442.4302151842,3.58401197387229,0.399763661739672,0.246047173385345,1
0.1,38442.4487119263,3.58401016518572,0.399763598864356,0.246047111294083,1
0.1,38442.1642933404,3.58403809009707,0.399764619670639,0.246048071339358,1
0.1,38442.4074275557,3.58401409519526,0.399763687862833,0.246047244877957,1
0.1,38442.4258622679,3.58401246198535,0.399763706521709,0.246047190919687,1
0.1,38442.323556741,3.58402242434313,0.399764034300185,0.24604753240357,1
0.1,38442.5384133003,3.58400143586316,0.39976331407312,0.246046812142532,1
0.1,38442.3273447284,3.58402212890184,0.399764057410191,0.246047523194359,1
0.1,38442.3643816561,3.58401838932683,0.399763874929413,0.246047393349625,1
0.1,38442.3722084318,3.5840176533151,0.399763862405762,0.246047368448007,1
0.1,38442.3105068347,3.58402372120322,0.399764088621236,0.246047577182271,1
0.1,38442.3200464609,3.58402283898927,0.399764080498462,0.246047547526654,1
0.1,38442.3946691352,3.58401549479709,0.39976380420382,0.246047294817893,1
0.1,38442.3225387734,3.58402248066781,0.399764017013647,0.24604753379903,1
0.1,38442.2632295194,3.58402839305996,0.399764272720858,0.246047738170798,1
0.1,38442.4117379,3.58401373204995,0.399763701214422,0.246047233137559,1
0.1,38442.4019340636,3.58401474385254,0.399763760046219,0.246047268533619,1
0.1,38442.380416508,3.58401685915766,0.399763838570743,0.246047341290432,1
0.1,38442.3265771095,3.58402211475099,0.399764017196057,0.24604752159804,1
0.1,38442.3917420514,3.58401564014594,0.399763746530631,0.246047298053889,1
0.1,38442.3357117285,3.58402123502619,0.399763992633791,0.246047491565916,1
0.1,38442.4749137226,3.58400756884438,0.399763493363788,0.246047021736838,1
0.1,38442.3897078672,3.58401587392774,0.399763770183806,0.246047306513648,1
