Sample,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Tsigma_km,Converged
47,41.9636095317808,5.17533200598057,0.569180866087384,0.351534269089468,5.21839099462575,1
48,41.3421046052136,5.17528896139029,0.569178211949943,0.35153221037438,5.21834787703708,1
49,42.2778722859077,5.17536550755833,0.569181400970933,0.351535751263176,5.21842437795662,1
50,41.430460032757,5.1752979598455,0.569176001375056,0.351532655112113,5.21835659008968,1
51,41.5012636821576,5.17527926491639,0.569176057916765,0.351531417703033,5.21833797222943,1
52,42.3126300392709,5.17538308013643,0.569180849904138,0.351537140166506,5.21844183899529,1
53,42.3158182782788,5.17535110592738,0.569180226809682,0.351534795225803,5.21840990268772,1
54,41.5854974313438,5.17531566335875,0.569175748106884,0.351533475531919,5.21837417516787,1
55,41.0341318264562,5.17527072195989,0.569175020417804,0.351531428269858,5.21832938731394,1
56,41.4818853770576,5.17527085582271,0.569179572736983,0.351531018146446,5.21832998897809,1
57,40.1268864246264,5.17516172139564,0.5691676177674,0.351525664822432,5.21822009048512,1
58,41.4400309485673,5.17529517118907,0.569177621973907,0.351532596058208,5.2183539972275,1
59,42.3238869883342,5.1753799348185,0.569179021290435,0.351536501269491,5.21843847714275,1
60,41.5900317618957,5.17527816157854,0.569178891360856,0.351531509574143,5.2183371932356,1
61,41.4841079033695,5.17530647782803,0.569178441890871,0.351533378306194,5.21836535269671,1
62,42.5761400788879,5.17541630447955,0.569182616960972,0.351538821515467,5.21847509519359,1
63,41.1067549542684,5.17524528484034,0.56917355995043,0.351529676323318,5.21830388277118,1
64,40.6623799348831,5.17523678688717,0.569171880765675,0.351529352258193,5.21829524995507,1
65,40.9224089210565,5.17521877255804,0.569174132565777,0.351528164635262,5.21827754987706,1
66,41.3954930521333,5.17529190964359,0.569177913399283,0.351532535163915,5.21835079027874,1
67,41.8607221004001,5.17532348832785,0.5691783075704,0.351533821338178,5.21838223803041,1
68,42.0471193668328,5.17535007573307,0.569179952820167,0.351535276284866,5.21840888351567,1
69,41.6425513402655,5.17527602528141,0.569178949289802,0.351531138523609,5.21833505588889,1
70,41.4821627331222,5.17528290135603,0.56917590293117,0.351531108772131,5.21834154094767,1
71,40.8383606158074,5.17522883788957,0.56917309274686,0.351528965320054,5.21828747267625,1
72,41.4818199458085,5.17529337428472,0.569176119669059,0.351532521944202,5.21835204629788,1
73,41.4994977531586,5.17530870758902,0.569174702527022,0.351532935346527,5.2183671263602,1
74,41.6195193091684,5.17529353902413,0.569174344427999,0.351531659626359,5.21835195795949,1
75,40.572579491989,5.17519922838748,0.569173588856756,0.351527510134883,5.21825806358176,1
76,41.1979433660071,5.1752549901663,0.569176184732705,0.351530403641486,5.21831384330153,1
77,41.7457148091175,5.17532834279292,0.5691792166884,0.35153429921736,5.21838718379079,1
78,41.4646693854572,5.17527266787179,0.569175988348492,0.351530915226816,5.21833138818276,1
79,41.010662539633,5.17526735891765,0.569174734251862,0.351531567127504,5.21832603016295,1
80,41.0411649678815,5.17525692481113,0.569174601456753,0.351530675387589,5.21831560759672,1
81,41.2506951904664,5.17526709443964,0.569175428913146,0.351530863867869,5.2183257962607,1
82,42.0950325485505,5.17532437136155,0.569183570031184,0.351533446754278,5.21838366253279,1
83,41.7131207362893,5.1753362772819,0.569178432258861,0.351534745587218,5.21839499731994,1
84,42.1851835711674,5.17532806340751,0.569180388211305,0.35153373771999,5.21838699666602,1
85,41.1915297785611,5.17526075194938,0.56917186135236,0.351530467135743,5.21831909025767,1
86,41.1263517223405,5.17525247531262,0.569172620120474,0.351529776768358,5.21831091816873,1
87,41.7279263304868,5.17534319212429,0.569176314930495,0.351534930874793,5.21840163664797,1
88,40.8917004820488,5.1752136285376,0.569172852040126,0.351528006059606,5.21827229794929,1
89,41.4996823473752,5.17529119617403,0.569174628682911,0.35153228674559,5.21834970769086,1
90,42.7280203019008,5.17537632340177,0.5691844583168,0.351535840317899,5.21843544402391,1
91,41.9111080339336,5.17531635408529,0.569180826078357,0.35153308772876,5.21837538793502,1
92,41.7570235546873,5.17533113404773,0.56917959642862,0.351534354072345,5.21838999712818,1
93,41.5257530712075,5.17529181162315,0.569171625860447,0.351532062016552,5.21834997540064,1
94,41.6697634201696,5.17531375041633,0.569176981328668,0.351533189659903,5.21837239326164,1
95,41.5860051367397,5.17530919060779,0.569178708692895,0.351533607854575,5.21836808765633,1
96,40.6839401633929,5.17526283776077,0.569170699069435,0.351531436847645,5.21832109741045,1
97,42.1589312339939,5.17536586071203,0.56917887246602,0.351535970960437,5.21842446720888,1
98,41.6383700325416,5.17528433388986,0.569177886227918,0.351531544638998,5.21834320734589,1
99,41.8305787925565,5.17535200211121,0.569177903363074,0.351535810327469,5.21841060643717,1
100,42.7530851384226,5.17540317994063,0.569185478381391,0.351538146171894,5.21846234555293,1
101,40.7068954739176,5.17523807121988,0.569172342221832,0.351529427117493,5.21829657906519,1
102,41.9684067189403,5.17534597360139,0.569180638117612,0.351535140688765,5.21840488084426,1
103,41.834662600717,5.17533676360736,0.569177673805438,0.351534486402159,5.21839537944707,1
104,40.7976442638,5.17523361114989,0.569172629903706,0.351529663616733,5.21829220310722,1
105,43.0014752760331,5.17543577676297,0.569185496553385,0.351539677078956,5.21849477852049,1
106,41.6720864958409,5.1753089204163,0.569179727444923,0.351532968988549,5.21836788777494,1
107,41.9947620291012,5.17532478806526,0.569179064360974,0.351533690127279,5.21838360074881,1
108,40.3846887971706,5.17520287975646,0.569170365670551,0.351528100223406,5.21826137300957,1
109,41.6478722222654,5.17532683491653,0.569178226101916,0.351534125417148,5.21838556860342,1
110,41.4870502291251,5.17529758200957,0.569176238910749,0.351532574194364,5.2183562358289,1
111,40.6164341304415,5.17519489248097,0.569173297118675,0.351527369935594,5.2182537221879,1
112,40.8373135154736,5.17523973646132,0.569173233190006,0.351529547148539,5.21829833583197,1
113,41.6063948018257,5.17532227483309,0.569177601289005,0.351534255845606,5.2183809867837,1
114,41.5273082639611,5.17528328722455,0.569173872806602,0.351531470056781,5.21834172654031,1
115,40.4753992999823,5.17522606103242,0.569170045513693,0.351529045459111,5.2182843917614,1
116,40.7962921650008,5.1752529225216,0.569171898026441,0.351530315191265,5.21831131919799,1
117,42.2612070009987,5.17535732815689,0.569179346791272,0.351535075058129,5.21841599644155,1
118,42.369656010092,5.17536272154278,0.569182693832281,0.351535621595365,5.21842174720895,1
119,40.8276364329296,5.17525453399854,0.569176943770373,0.351530842727609,5.21831350326722,1
120,40.9229234227931,5.17523429101516,0.569170285686038,0.351529293295047,5.2182925967266,1
