CombID,Idx1,Idx2,Idx3,TripleProduct,MeanDis_km,Converged
4276,20,31,36,0.0938178150784336,41.3111512662473,1
4277,20,31,37,0.0936838049363711,41.311151266419,1
4278,20,31,38,0.0935500003116201,41.3111512665247,1
4279,20,31,39,0.0934160970579517,41.3111512662683,1
4280,20,31,40,0.0932945477510702,41.3111512663399,1
4281,20,32,33,9.47436037066313e-05,0,0
4282,20,32,34,0.0942296789484984,41.3111512658931,1
4283,20,32,35,0.0941087922062641,41.3111512660793,1
4284,20,32,36,0.0939768638995183,41.3111512663347,1
4285,20,32,37,0.0938425210075648,41.3111512661935,1
4286,20,32,38,0.0937083842621047,41.311151266171,1
4287,20,32,39,0.0935741489291507,41.3111512661544,1
4288,20,32,40,0.0934522978575698,41.3111512663993,1
4289,20,33,34,0.0944094860788426,41.311151266163,1
4290,20,33,35,0.0942882708948903,41.311151266053,1
4291,20,33,36,0.0941559843488253,41.3111512663583,1
4292,20,33,37,0.0940212753669451,41.3111512660342,1
4293,20,33,38,0.0938867732171289,41.3111512662951,1
4294,20,33,39,0.0937521725093697,41.3111512661442,1
4295,20,33,40,0.0936299894351293,41.3111512660182,1
4296,20,34,35,9.72377982397587e-05,41.3111512661888,1
4297,20,34,36,0.000203156566310367,41.3111512660711,1
4298,20,34,37,0.000312300888108556,41.3111512661437,1
4299,20,34,38,0.00042115458889878,41.3111512660292,1
4300,20,34,39,0.000529791796783852,41.3111512659007,1
4301,20,34,40,0.000628741088755813,41.3111512660136,1
4302,20,35,36,0.000105919025348998,41.3111512662698,1
4303,20,35,37,0.000215061958046956,41.3111512661482,1
4304,20,35,38,0.000323914429845626,41.3111512664536,1
4305,20,35,39,0.000432550788211482,41.3111512659588,1
4306,20,35,40,0.000531498879631365,41.3111512660609,1
4307,20,36,37,0.000109141130803319,41.3111512660665,1
4308,20,36,38,0.00021799197587891,41.3111512663722,1
4309,20,36,39,0.000326627121444377,41.3111512664461,1
4310,20,36,40,0.000425573643325291,41.311151265451,1
4311,20,37,38,0.000108851020637535,41.3111512657935,1
4312,20,37,39,0.00021748676460998,41.311151266404,1
4313,20,37,40,0.000316433352484169,41.31115126595,1
4314,20,38,39,0.000108636166039742,41.3111512661123,1
4315,20,38,40,0.000207582660568576,41.3111512659934,1
4316,20,39,40,9.89460177050146e-05,41.3111512656631,1
4317,21,22,23,1.5974899321594e-05,0,0
4318,21,22,24,1.84169989062158e-05,0,0
4319,21,22,25,2.0903291339535e-05,0,0
4320,21,22,26,2.38322626764636e-05,0,0
4321,21,22,27,0.000221379670484412,41.3111512665056,1
4322,21,22,28,0.000221658576232575,41.3111512664885,1
4323,21,22,29,0.000221954786612702,41.3111512664028,1
4324,21,22,30,0.000222258141401435,41.3111512659413,1
4325,21,22,31,0.000222574800099865,41.3111512660413,1
4326,21,22,32,0.000222917609178114,41.3111512660199,1
4327,21,22,33,0.000223306464247133,41.3111512663927,1
4328,21,22,34,3.56830025802779e-05,41.3111512662406,1
4329,21,22,35,3.54074880769273e-05,41.3111512662768,1
4330,21,22,36,3.5107283132163e-05,41.3111512659714,1
4331,21,22,37,3.47985382559146e-05,41.3111512659937,1
4332,21,22,38,3.44905585064892e-05,41.311151266216,1
4333,21,22,39,3.41830539817012e-05,41.3111512661369,1
4334,21,22,40,3.39031270807921e-05,41.3111512663095,1
4335,21,23,24,1.91938419578587e-05,0,0
4336,21,23,25,3.98251193110906e-05,0,0
4337,21,23,26,6.52162425683798e-05,0,0
4338,21,23,27,0.00131391688966154,41.311151266315,1
4339,21,23,28,0.00132296161712378,41.3111512661562,1
4340,21,23,29,0.00133187021202637,41.3111512663486,1
4341,21,23,30,0.00134068531457725,41.3111512664445,1
4342,21,23,31,0.00134935247733049,41.3111512664257,1
4343,21,23,32,0.00135802004482527,41.3111512658432,1
4344,21,23,33,0.00136726326908283,41.3111512659294,1
4345,21,23,34,0.00654949709845878,41.3111512662975,1
4346,21,23,35,0.0065425273681671,41.3111512663997,1
4347,21,23,36,0.00653491815643828,41.3111512663125,1
4348,21,23,37,0.00652718813597875,41.3111512662557,1
4349,21,23,38,0.00651946820773766,41.3111512658784,1
4350,21,23,39,0.00651173834953966,41.3111512664202,1
4351,21,23,40,0.00650472642980277,41.3111512662228,1
4352,21,24,25,2.0797921898205e-05,0,0
4353,21,24,26,4.6551453612854e-05,0,0
4354,21,24,27,0.00178076442017169,41.3111512662108,1
4355,21,24,28,0.00179152692985447,41.3111512662492,1
4356,21,24,29,0.00180215328776652,41.3111512661002,1
4357,21,24,30,0.00181268044506024,41.3111512662549,1
4358,21,24,31,0.00182305303149245,41.31115126635,1
4359,21,24,32,0.00183345750422143,41.3111512662162,1
4360,21,24,33,0.00184458095922445,41.3111512660856,1
4361,21,24,34,0.00750785244851962,41.3111512658682,1
4362,21,24,35,0.00750014827894424,41.311151265865,1
4363,21,24,36,0.00749173653530086,41.3111512658823,1
4364,21,24,37,0.00748319577549755,41.3111512658923,1
4365,21,24,38,0.00747466573142072,41.3111512662541,1
4366,21,24,39,0.00746612366840169,41.3111512660296,1
4367,21,24,40,0.00745837616133221,41.3111512658841,1
4368,21,25,26,2.59226305967027e-05,0,0
4369,21,25,27,0.00227116669721887,41.3111512660348,1
4370,21,25,28,0.00228369710657524,41.3111512663695,1
4371,21,25,29,0.0022960925254395,41.311151265976,1
4372,21,25,30,0.00230838341964247,41.3111512664245,1
4373,21,25,31,0.00232051389975776,41.3111512662456,1
4374,21,25,32,0.00233271010187877,41.3111512660604,1
4375,21,25,33,0.00234577434753636,41.3111512663364,1
4376,21,25,34,0.00848111549337052,41.3111512661793,1
4377,21,25,35,0.00847268239453439,41.3111512661533,1
4378,21,25,36,0.00846347408161,41.3111512664922,1
4379,21,25,37,0.00845412897932257,41.3111512660429,1
4380,21,25,38,0.00844479517534191,41.3111512662005,1
4381,21,25,39,0.00843544719320244,41.311151265818,1
4382,21,25,40,0.00842696988914216,41.3111512658558,1
4383,21,26,27,0.00286394059946542,41.3111512662255,1
4384,21,26,28,0.00287857264821491,41.3111512659819,1
4385,21,26,29,0.00289307225144475,41.3111512659847,1
4386,21,26,30,0.00290746154394499,41.3111512658013,1
4387,21,26,31,0.0029216844435896,41.3111512663988,1
4388,21,26,32,0.00293601470387433,41.3111512663601,1
4389,21,26,33,0.00295139174068978,41.3111512661146,1
4390,21,26,34,0.00962523899537496,41.3111512663653,1
4391,21,26,35,0.00961596592144628,41.3111512662484,1
4392,21,26,36,0.00960583962950992,41.3111512662578,1
4393,21,26,37,0.00959556797182748,41.3111512664046,1
4394,21,26,38,0.0095853082467211,41.311151266275,1
4395,21,26,39,0.00957503176747429,41.3111512660953,1
4396,21,26,40,0.00956571376619206,41.3111512663621,1
4397,21,27,28,0.000102401885556497,0,0
4398,21,27,29,0.000201493964372922,0,0
4399,21,27,30,0.000298702809712605,0,0
4400,21,27,31,0.000392767278725754,0,0
4401,21,27,32,0.000484686518312203,0,0
4402,21,27,33,0.00058079596267188,0,0
4403,21,27,34,0.0936976176893009,41.3111512658592,1
4404,21,27,35,0.0935783706307563,41.3111512662491,1
4405,21,27,36,0.0934482308977532,41.3111512663167,1
4406,21,27,37,0.093315714601588,41.311151266304,1
4407,21,27,38,0.0931834010938745,41.3111512660393,1
4408,21,27,39,0.0930509890637947,41.3111512661377,1
4409,21,27,40,0.0929307944306272,41.311151265997,1
4410,21,28,29,9.90799044778643e-05,0,0
4411,21,28,30,0.000196270898148379,0,0
4412,21,28,31,0.000290307400155024,0,0
4413,21,28,32,0.000382183873882692,0,0
4414,21,28,33,0.000478234532285355,0,0
4415,21,28,34,0.0938321684854158,41.311151266019,1
4416,21,28,35,0.0937126437505399,41.311151265979,1
4417,21,28,36,0.0935822011971747,41.3111512661521,1
4418,21,28,37,0.0934493751362778,41.3111512660526,1
4419,21,28,38,0.0933167524732351,41.3111512660699,1
4420,21,28,39,0.0931840313835235,41.3111512659806,1
4421,21,28,40,0.0930635558392117,41.3111512660998,1
4422,21,29,30,9.71852759476512e-05,0,0
4423,21,29,31,0.000191205898011135,0,0
4424,21,29,32,0.000283051916226435,0,0
4425,21,29,33,0.000379057114980177,0,0
4426,21,29,34,0.09397350987322,41.3111512662623,1
4427,21,29,35,0.0938537022599692,41.3111512660884,1
4428,21,29,36,0.0937229512018903,41.3111512662054,1
4429,21,29,37,0.0935898096338202,41.3111512660695,1
4430,21,29,38,0.0934568720774186,41.3111512662109,1
4431,21,29,39,0.0933238361752393,41.311151266033,1
4432,21,29,40,0.0932030745096392,41.3111512660479,1
4433,21,30,31,9.40104715410229e-05,0,0
4434,21,30,32,0.00018583191688953,0,0
4435,21,30,33,0.000281798065571232,0,0
4436,21,30,34,0.0941175715408145,41.3111512662038,1
4437,21,30,35,0.093997479544572,41.311151266112,1
4438,21,30,36,0.0938664183356689,41.3111512661502,1
4439,21,30,37,0.0937329596102654,41.3111512661643,1
4440,21,30,38,0.0935997055103805,41.3111512659669,1
4441,21,30,39,0.0934663531383869,41.3111512660986,1
4442,21,30,40,0.0933453038538368,41.3111512661068,1
4443,21,31,32,9.1807265513753e-05,0,0
4444,21,31,33,0.000187745662984121,0,0
4445,21,31,34,0.0942667571832083,41.311151266032,1
4446,21,31,35,0.0941463775510519,41.3111512661067,1
4447,21,31,36,0.0940150026344943,41.3111512661596,1
4448,21,31,37,0.0938812231734037,41.3111512662773,1
4449,21,31,38,0.0937476489530012,41.3111512662053,1
4450,21,31,39,0.0936139765214881,41.3111512660846,1
4451,21,31,40,0.0934926363707928,41.3111512663851,1
4452,21,32,33,9.5925767258052e-05,0,0
4453,21,32,34,0.0944266650389576,41.3111512658936,1
4454,21,32,35,0.09430598635469,41.3111512662978,1
4455,21,32,36,0.0941742852668449,41.3111512661167,1
4456,21,32,37,0.094040172408458,41.3111512660617,1
4457,21,32,38,0.0939062654224685,41.311151266312,1
4458,21,32,39,0.0937722602701238,41.3111512659535,1
4459,21,32,40,0.0936506177679112,41.3111512662623,1
4460,21,33,34,0.0946067369807953,41.3111512661814,1
4461,21,33,35,0.0944857292267045,41.3111512660161,1
4462,21,33,36,0.0943536692168991,41.311151266078,1
4463,21,33,37,0.0942191895545873,41.3111512660904,1
4464,21,33,38,0.0940849164530436,41.3111512659187,1
4465,21,33,39,0.0939505452184027,41.3111512660483,1
4466,21,33,40,0.093828570066353,41.311151266055,1
4467,21,34,35,9.73890667514005e-05,41.3111512658712,1
4468,21,34,36,0.000203472482917576,41.3111512663452,1
4469,21,34,37,0.000312787308393545,41.3111512659504,1
4470,21,34,38,0.000421810984898046,41.3111512659464,1
4471,21,34,39,0.000530617645126934,41.3111512655136,1
4472,21,34,40,0.000629721498216495,41.3111512658497,1
4473,21,35,36,0.000106083672862204,41.3111512660942,1
4474,21,35,37,0.000215397112678861,41.3111512661779,1
4475,21,35,38,0.000324419563285573,41.3111512663397,1
4476,21,35,39,0.000433225376212822,41.3111512661888,1
4477,21,35,40,0.000532328031835263,41.3111512661883,1
4478,21,36,37,0.000109311642323697,41.3111512663504,1
4479,21,36,38,0.000218332470229115,41.3111512661706,1
4480,21,36,39,0.000327137073422061,41.3111512663928,1
4481,21,36,40,0.000426238163458391,41.3111512657039,1
4482,21,37,38,0.000109021003088071,41.3111512656435,1
4483,21,37,39,0.00021782620333301,41.3111512662376,1
4484,21,37,40,0.000316927359324036,41.3111512659071,1
4485,21,38,39,0.000108805621338396,41.3111512663192,1
4486,21,38,40,0.000207906684289437,41.3111512659695,1
4487,21,39,40,9.91005873171723e-05,41.3111512654606,1
4488,22,23,24,1.67509300270527e-05,0,0
4489,22,23,25,3.48949031745067e-05,0,0
4490,22,23,26,5.73556240893755e-05,0,0
4491,22,23,27,0.00152518643820362,41.3111512664206,1
4492,22,23,28,0.00153454960842497,41.3111512660617,1
4493,22,23,29,0.00154379481271641,41.3111512663253,1
4494,22,23,30,0.00155295409084702,41.3111512660446,1
4495,22,23,31,0.00156197936166737,41.3111512660549,1
4496,22,23,32,0.00157103296777707,41.3111512662761,1
4497,22,23,33,0.00158071283078301,41.3111512662084,1
4498,22,23,34,0.00652402361491103,41.3111512662434,1
4499,22,23,35,0.00651733249636427,41.3111512662901,1
4500,22,23,36,0.0065100268998165,41.311151266018,1
4501,22,23,37,0.00650260888455653,41.3111512665042,1
4502,22,23,38,0.00649520020885139,41.3111512661178,1
4503,22,23,39,0.0064877811759983,41.3111512662485,1
4504,22,23,40,0.00648105214091341,41.3111512662502,1
4505,22,24,25,1.83105894531924e-05,0,0
4506,22,24,26,4.11336490084404e-05,0,0
4507,22,24,27,0.00199047716631863,41.311151266235,1
4508,22,24,28,0.00200156414864201,41.3111512662334,1
4509,22,24,29,0.00201253327671896,41.3111512661934,1
4510,22,24,30,0.00202341083448347,41.3111512662597,1
4511,22,24,31,0.00203414784928863,41.3111512661941,1
4512,22,24,32,0.00204494495174475,41.3111512661037,1
4513,22,24,33,0.00205651233046336,41.3111512661614,1
4514,22,24,34,0.0074839415193666,41.3111512660762,1
4515,22,24,35,0.00747651642100433,41.3111512662779,1
4516,22,24,36,0.00746840879860255,41.3111512661553,1
4517,22,24,37,0.00746018052670774,41.3111512662345,1
4518,22,24,38,0.00745196221981995,41.3111512661986,1
4519,22,24,39,0.00744373147416605,41.3111512662294,1
4520,22,24,40,0.0074362672896684,41.3111512662023,1
4521,22,25,26,2.29921212260755e-05,0,0
4522,22,25,27,0.00247929190875744,41.311151266189,1
4523,22,25,28,0.00249215292652905,41.3111512660724,1
4524,22,25,29,0.00250489738439598,41.3111512662859,1
4525,22,25,30,0.00251754501310009,41.3111512661862,1
4526,22,25,31,0.00253004635260634,41.3111512663107,1
4527,22,25,32,0.00254264189087705,41.3111512661401,1
4528,22,25,33,0.00255615747255156,41.3111512662208,1
4529,22,25,34,0.00845879580761036,41.3111512661608,1
4530,22,25,35,0.00845064224458436,41.3111512661059,1
4531,22,25,36,0.00844173856464853,41.311151266069,1
4532,22,25,37,0.00843270643814353,41.3111512658728,1
4533,22,25,38,0.00842368486121411,41.3111512661234,1
4534,22,25,39,0.0084146486938079,41.3111512663496,1
4535,22,25,40,0.008406455154927,41.3111512663202,1
4536,22,26,27,0.00307019230605704,41.3111512661432,1
4537,22,26,28,0.00308516218728334,41.3111512663526,1
4538,22,26,29,0.00310001821007316,41.3111512662589,1
4539,22,26,30,0.00311477169432495,41.3111512662748,1
4540,22,26,31,0.00312937302466781,41.311151266039,1
4541,22,26,32,0.00314411051645795,41.3111512662562,1
4542,22,26,33,0.0031599476155158,41.3111512660658,1
4543,22,26,34,0.00960479440444828,41.3111512663051,1
4544,22,26,35,0.00959580140952368,41.311151266136,1
4545,22,26,36,0.00958598034894517,41.3111512662811,1
4546,22,26,37,0.0095760222371632,41.3111512661989,1
4547,22,26,38,0.00956607531157974,41.3111512664255,1
4548,22,26,39,0.00955611122838726,41.3111512661584,1
4549,22,26,40,0.00954707750950778,41.3111512663382,1
4550,22,27,28,0.000103126300862644,0,0
4551,22,27,29,0.000202965692201257,0,0
4552,22,27,30,0.000300932216629493,0,0
4553,22,27,31,0.000395771495260109,0,0
4554,22,27,32,0.000488506763912666,0,0
4555,22,27,33,0.00058552448988682,0,0
4556,22,27,34,0.0938165179974435,41.31115126629,1
4557,22,27,35,0.0936974882267489,41.3111512661814,1
4558,22,27,36,0.0935675857450429,41.3111512664175,1
4559,22,27,37,0.0934353100273983,41.3111512661953,1
4560,22,27,38,0.0933032367866907,41.3111512662154,1
4561,22,27,39,0.0931710653885069,41.3111512663186,1
4562,22,27,40,0.0930510889026332,41.3111512662478,1
4563,22,28,29,9.98271892216427e-05,0,0
4564,22,28,30,0.000197775823884171,0,0
4565,22,28,31,0.000292587075459626,0,0
4566,22,28,32,0.000385279484563923,0,0
4567,22,28,33,0.000482238296441017,0,0
4568,22,28,34,0.0939513353550385,41.3111512661191,1
4569,22,28,35,0.093832027280204,41.3111512662626,1
4570,22,28,36,0.0937018212946841,41.3111512663249,1
4571,22,28,37,0.093569235105103,41.3111512661503,1
4572,22,28,38,0.0934368520039726,41.3111512663587,1
4573,22,28,39,0.093304370843078,41.3111512661456,1
4574,22,28,40,0.0931841128048956,41.3111512663198,1
4575,22,29,30,9.79429066929176e-05,0,0
4576,22,29,31,0.000192738246089373,0,0
4577,22,29,32,0.000285400134321926,0,0
4578,22,29,33,0.000382313389188767,0,0
4579,22,29,34,0.0940929562891082,41.3111512665087,1
4580,22,29,35,0.0939733646965783,41.311151266345,1
4581,22,29,36,0.0938428495103883,41.3111512661283,1
4582,22,29,37,0.093709947093301,41.3111512662803,1
4583,22,29,38,0.0935772483806449,41.3111512662165,1
4584,22,29,39,0.0934444516912083,41.3111512663236,1
4585,22,29,40,0.0933239068786722,41.3111512662208,1
4586,22,30,31,9.47851668147602e-05,0,0
4587,22,30,32,0.000187422427103444,0,0
4588,22,30,33,0.000284296545640201,0,0
4589,22,30,34,0.0942373030110738,41.3111512662673,1
4590,22,30,35,0.0941174263903427,41.3111512663058,1
4591,22,30,36,0.0939866003509709,41.3111512661322,1
4592,22,30,37,0.0938533800495237,41.3111512663295,1
4593,22,30,38,0.0937203640685496,41.3111512661595,1
4594,22,30,39,0.0935872501865905,41.3111512661886,1
4595,22,30,40,0.0934664170959709,41.3111512663602,1
4596,22,31,32,9.26230478896533e-05,0,0
4597,22,31,33,0.000189469353450717,0,0
4598,22,31,34,0.0943867836143835,41.311151266358,1
4599,22,31,35,0.0942666187042677,41.3111512662653,1
4600,22,31,36,0.0941354782459114,41.3111512665298,1
4601,22,31,37,0.0940019364723173,41.3111512659513,1
4602,22,31,38,0.0938685996365981,41.3111512663149,1
4603,22,31,39,0.0937351649630772,41.3111512660614,1
4604,22,31,40,0.0936140403386277,41.311151266387,1
4605,22,32,33,9.68336484724963e-05,0,0
4606,22,32,34,0.0945470071200395,41.3111512662436,1
4607,22,32,35,0.0944265424787093,41.3111512662268,1
4608,22,32,36,0.0942950751098646,41.3111512663695,1
4609,22,32,37,0.0941611991734464,41.311151266121,1
4610,22,32,38,0.0940275288089504,41.3111512661635,1
4611,22,32,39,0.0938937606537249,41.3111512662837,1
4612,22,32,40,0.0937723329837214,41.3111512662169,1
4613,22,33,34,0.0947274343122149,41.3111512663056,1
4614,22,33,35,0.0946066398523421,41.311151266378,1
4615,22,33,36,0.094474812746583,41.3111512662206,1
4616,22,33,37,0.0943405691620925,41.311151266499,1
4617,22,33,38,0.0942065318404865,41.3111512661991,1
4618,22,33,39,0.0940723967639998,41.3111512660406,1
4619,22,33,40,0.0939506356788462,41.3111512662492,1
4620,22,34,35,9.7572065678867e-05,41.3111512661613,1
4621,22,34,36,0.000203854959507035,41.3111512659716,1
4622,22,34,37,0.000313374385634907,41.311151266118,1
4623,22,34,38,0.00042260220163967,41.3111512660483,1
4624,22,34,39,0.000531612804946149,41.311151265578,1
4625,22,34,40,0.000630902165336983,41.3111512659748,1
4626,22,35,36,0.000106283149913092,41.3111512661869,1
4627,22,35,37,0.00021580119401179,41.3111512661725,1
4628,22,35,38,0.000325027787385607,41.311151265945,1
4629,22,35,39,0.000434037545736732,41.3111512659446,1
4630,22,35,40,0.000533325711921682,41.3111512663802,1
4631,22,36,37,0.000109516251246006,41.3111512661956,1
4632,22,36,38,0.000218741226161248,41.3111512659681,1
4633,22,36,39,0.000327749778016679,41.311151266065,1
4634,22,36,40,0.000427036382789903,41.311151265242,1
4635,22,37,38,0.000109225149700864,41.3111512656369,1
4636,22,37,39,0.00021823429718593,41.3111512664159,1
4637,22,37,40,0.000317520967880155,41.3111512659948,1
4638,22,38,39,0.000109009567555124,41.3111512663701,1
4639,22,38,40,0.000208296145535724,41.3111512658177,1
4640,22,39,40,9.9286103602768e-05,41.3111512655413,1
4641,23,24,25,1.66478029914275e-07,0,0
4642,23,24,26,5.28458308602731e-07,0,0
4643,23,24,27,0.000454767033257475,41.3111512659489,1
4644,23,24,28,0.000456532779134877,41.3111512660038,1
4645,23,24,29,0.000458299534569023,41.3111512662097,1
4646,23,24,30,0.00046006108375371,41.3111512660836,1
4647,23,24,31,0.000461816749587687,41.3111512660003,1
4648,23,24,32,0.000463606035869424,41.3111512664613,1
4649,23,24,33,0.000465544148737812,41.31115126599,1
4650,23,24,34,0.000970955138622276,41.3111512659754,1
4651,23,24,35,0.000970224066253661,41.3111512662086,1
4652,23,24,36,0.000969425244798955,41.3111512660034,1
4653,23,24,37,0.000968618029651258,41.3111512663938,1
4654,23,24,38,0.000967811453499418,41.3111512663449,1
4655,23,24,39,0.000967002845569637,41.3111512662444,1
4656,23,24,40,0.000966270455409007,41.3111512660642,1
4657,23,25,26,5.308391947869e-07,0,0
4658,23,25,27,0.000932195498027449,41.3111512659976,1
4659,23,25,28,0.000935780777721981,41.3111512658406,1
4660,23,25,29,0.000939369332883577,41.3111512662279,1
4661,23,25,30,0.000942947896555094,41.3111512661673,1
4662,23,25,31,0.000946515536076054,41.3111512658634,1
4663,23,25,32,0.000950152930832379,41.3111512661053,1
4664,23,25,33,0.000954094131485408,41.3111512661338,1
4665,23,25,34,0.00195781839560652,41.3111512663435,1
4666,23,25,35,0.00195636195257656,41.3111512658894,1
4667,23,25,36,0.0019547704841654,41.3111512659048,1
4668,23,25,37,0.00195316264759693,41.3111512662332,1
4669,23,25,38,0.00195155604933986,41.3111512662236,1
4670,23,25,39,0.00194994532149381,41.3111512663043,1
4671,23,25,40,0.00194848651012042,41.311151265843,1
4672,23,26,27,0.00150901767970467,41.3111512664722,1
4673,23,26,28,0.00151476825065976,41.3111512659997,1
4674,23,26,29,0.00152052599995238,41.3111512663533,1
4675,23,26,30,0.00152626863370875,41.3111512660973,1
4676,23,26,31,0.00153199535038014,41.311151266234,1
4677,23,26,32,0.00153783629042552,41.3111512661807,1
4678,23,26,33,0.00154416705945866,41.3111512662311,1
4679,23,26,34,0.00311875599559391,41.3111512661475,1
4680,23,26,35,0.00311646387600983,41.3111512661371,1
4681,23,26,36,0.00311395916732743,41.3111512664104,1
4682,23,26,37,0.00311142926500529,41.3111512662375,1
4683,23,26,38,0.00310890125597754,41.311151266265,1
4684,23,26,39,0.00310636661683608,41.3111512663521,1
4685,23,26,40,0.00310407118128836,41.3111512661422,1
4686,23,27,28,9.34258262298697e-05,0,0
