CombID,Idx1,Idx2,Idx3,TripleProduct,MeanDis_km,Converged
269,1,9,33,0.0178112787998872,41.3111512661906,1
270,1,9,34,0.0167727072003348,41.3111512663271,1
271,1,9,35,0.0167557382824234,41.3111512663156,1
272,1,9,36,0.0167371768795189,41.3111512664283,1
273,1,9,37,0.0167185590167448,41.3111512664715,1
274,1,9,38,0.0166999441102427,41.3111512665124,1
275,1,9,39,0.0166812519847911,41.3111512664097,1
276,1,9,40,0.0166643587939159,41.3111512665221,1
277,1,10,11,0.000463803777388987,41.3111512659701,1
278,1,10,12,0.000463820358992522,0,0
279,1,10,13,0.000464126027789134,0,0
280,1,10,14,0.000464367180159499,0,0
281,1,10,15,0.000215555812888361,41.3111512659701,1
282,1,10,16,0.000214277258125961,0,0
283,1,10,17,0.000213266986558089,0,0
284,1,10,18,0.00021208623544776,0,0
285,1,10,19,0.00857702478526073,41.3111512660052,1
286,1,10,20,0.00864364098046519,41.311151266263,1
287,1,10,21,0.00870685774047945,41.3111512662155,1
288,1,10,22,0.00876584831400374,41.3111512660694,1
289,1,10,23,0.00927879702177964,41.3111512659643,1
290,1,10,24,0.00929491004685954,41.3111512660938,1
291,1,10,25,0.00930718856336238,41.3111512665961,1
292,1,10,26,0.0093175108366656,41.311151266523,1
293,1,10,27,0.0182881799831795,41.311151266228,1
294,1,10,28,0.0183100159695331,41.3111512661478,1
295,1,10,29,0.0183314989877216,41.3111512663359,1
296,1,10,30,0.018352662667597,41.3111512663764,1
297,1,10,31,0.0183734137651129,41.3111512661737,1
298,1,10,32,0.0183941323513431,41.311151266112,1
299,1,10,33,0.0184161430622536,41.3111512662404,1
300,1,10,34,0.0173432861071868,41.3111512663536,1
301,1,10,35,0.0173257249285124,41.3111512662286,1
302,1,10,36,0.0173065157178898,41.3111512662638,1
303,1,10,37,0.0172872478538123,41.3111512662368,1
304,1,10,38,0.0172679830710622,41.3111512661618,1
305,1,10,39,0.0172486384258283,41.3111512661401,1
